name,rank,address,thumbnail,n_ug,page_url,zip,type,year_founded,setting,endowment,completion_rate,annual_cost
Michigan State University,81,"East Lansing, MI",https://www.usnews.com/best-colleges/michigan-state-2290/photos,39090,https://www.usnews.com/best-colleges/michigan-state-2290,48824,"Public, Coed",1855,Suburban,$2.6 billion,0.7717,24976
North Carolina State University--Raleigh,81,"Raleigh, NC",https://www.usnews.com/best-colleges/north-carolina-state-raleigh-2972/photos,23847,https://www.usnews.com/best-colleges/north-carolina-state-raleigh-2972,27695,"Public, Coed",1887,City,$998.6 million,0.7517,22767
University of California--Santa Cruz,81,"Santa Cruz, CA",https://www.usnews.com/best-colleges/ucsc-1321/photos,16962,https://www.usnews.com/best-colleges/ucsc-1321,95064,"Public, Coed",1965,Suburban,$244.4 million,0.7835,34124
University of Delaware,81,"Newark, DE",https://www.usnews.com/best-colleges/university-of-delaware-1431/photos,18374,https://www.usnews.com/best-colleges/university-of-delaware-1431,19716,"Public, Coed",1743,Suburban,$1.3 billion,0.7884,24086
Binghamton University--SUNY,87,"Binghamton, NY",https://www.usnews.com/best-colleges/suny-binghamton-2836/photos,13632,https://www.usnews.com/best-colleges/suny-binghamton-2836,13902,"Public, Coed",1946,Suburban,$93.4 million +,0.8095,23480
University of Denver,87,"Denver, CO",https://www.usnews.com/best-colleges/university-denver-1371/photos,5754,https://www.usnews.com/best-colleges/university-denver-1371,80208,"Private, Coed",1864,City,$607.4 million,0.7701,56992
University of Tulsa,87,"Tulsa, OK",https://www.usnews.com/best-colleges/university-of-tulsa-3185/photos,3406,https://www.usnews.com/best-colleges/university-of-tulsa-3185,74104,"Private, Coed",1894,City,$975.6 million +,0.6827,50116
Indiana University--Bloomington,90,"Bloomington, IN",https://www.usnews.com/best-colleges/indiana-university-1809/photos,39184,https://www.usnews.com/best-colleges/indiana-university-1809,47405,"Public, Coed",1820,City,$991.1 million +,0.7706,24326
Marquette University,90,"Milwaukee, WI",https://www.usnews.com/best-colleges/marquette-university-3863/photos,8238,https://www.usnews.com/best-colleges/marquette-university-3863,53201,"Private, Coed",1881,Urban,$550.1 million,0.7974,49868
University of Colorado--Boulder,90,"Boulder, CO",https://www.usnews.com/best-colleges/cu-boulder-1370/photos,27846,https://www.usnews.com/best-colleges/cu-boulder-1370,80309,"Public, Coed",1876,City,$514.2 million,0.715,30025
University of San Diego,90,"San Diego, CA",https://www.usnews.com/best-colleges/university-of-san-diego-10395/photos,5711,https://www.usnews.com/best-colleges/university-of-san-diego-10395,92110,"Private, Coed",1949,Urban,$449.8 million,0.7928,59234
Drexel University,94,"Philadelphia, PA",https://www.usnews.com/best-colleges/drexel-university-3256/photos,13251,https://www.usnews.com/best-colleges/drexel-university-3256,19104,"Private, Coed",1891,Urban,$650.3 million,0.6803,66078
Saint Louis University,94,"St. Louis, MO",https://www.usnews.com/best-colleges/st-louis-university-2506/photos,7454,https://www.usnews.com/best-colleges/st-louis-university-2506,63103,"Private, Coed",1818,Urban,$1.1 billion,0.7147,53949
Yeshiva University,94,"New York, NY",https://www.usnews.com/best-colleges/yeshiva-university-2903/photos,2714,https://www.usnews.com/best-colleges/yeshiva-university-2903,10033,"Private, Coed",1886,Urban,$478.2 million +,0.879,56555
Rochester Institute of Technology,97,"Rochester, NY",https://www.usnews.com/best-colleges/rit-2806/photos,12410,https://www.usnews.com/best-colleges/rit-2806,14623,"Private, Coed",1829,Suburban,$750.9 million,0.6758,49013
Stony Brook University--SUNY,97,"Stony Brook, NY",https://www.usnews.com/best-colleges/stony-brook-suny-2838/photos,17026,https://www.usnews.com/best-colleges/stony-brook-suny-2838,11794,"Public, Coed",1957,Suburban,$219.7 million,0.6834,22000
SUNY College of Environmental Science and Forestry,97,"Syracuse, NY",https://www.usnews.com/best-colleges/suny-environmental-science-and-forestry-2851/photos,1755,https://www.usnews.com/best-colleges/suny-environmental-science-and-forestry-2851,13210,"Public, Coed",1911,City,$27.6 million,0.7527,24366
University at Buffalo--SUNY,97,"Buffalo, NY",https://www.usnews.com/best-colleges/ub-9554/photos,20411,https://www.usnews.com/best-colleges/ub-9554,14214,"Public, Coed",1846,Suburban,$601.0 million,0.4878,18907
